"String","Ref. Ten. (lbs)","Swing Speed","Material","Gauge Nominal (mm)","Gauge Acutal (mm)","Stretch at 40 lbs (%)","Stretch at 51 lbs (%)","Stretch at 62 lbs (%)","Actual Pre-impact Tension (lbs)","Dwell Time (ms)","Deflection (mm)","Tension Change (lbs)","Peak Tension (lbs)","Peak Perp. Force (lbs)","Ave Perp. Force (lbs)","Stiffness (lb/in)","Static Loss lbs.","Stabilization Loss (lbs)","Impact Loss (lbs).","Total Loss (lbs)","Tension Loss (%)","Energy Return (%)","String/String COF","String/Ball COF","Spin Potential"
"LaserFibre 1200 16 (1.30)","51","Fast","Nylon","1.3","","0.0","0.0","0.0","41.54","35.3","32.9","36.6","78.1","32.1","16.1","137.7","3.24","5.94","0.17","9.3","18.4","91.8","0.106","0.603","5.7"
"Luxilon 4G 16 (1.30)","40","Slow","Polyester","1.3","NA","1.2","1.8","2.4","20.90","42.6","20.7","31.3","52.0","13.5","6.7","296.0","5.51","13.28","0.04","18.7","47.4","93.5","NA","NA","NA"
"Luxilon 4G 16 (1.30)","40","Medium","Polyester","1.3","NA","1.2","1.8","2.4","21.28","37.2","27.7","50.5","71.9","24.9","11.4","267.5","5.51","12.90","0.31","18.7","47.2","88.4","NA","NA","NA"
"Luxilon 4G 16 (1.30)","40","Fast","Polyester","1.3","NA","1.2","1.8","2.4","21.26","34.4","32.0","64.6","86.0","34.4","15.7","256.0","5.51","12.92","0.40","18.7","47.4","86.3","NA","NA","NA"
"Luxilon 4G 16 (1.30)","51","Slow","Polyester","1.3","NA","1.2","1.8","2.4","38.87","37.2","17.8","26.0","64.8","14.4","7.7","334.3","3.97","7.88","-0.16","11.7","23","97.2","NA","NA","NA"
"Luxilon 4G 16 (1.30)","51","Medium","Polyester","1.3","NA","1.2","1.8","2.4","39.16","33.3","24.1","45.4","84.5","25.4","13.0","317.2","3.97","7.59","0.13","11.7","23","92.7","NA","NA","NA"
"Luxilon 4G 16 (1.30)","51","Fast","Polyester","1.3","NA","1.2","1.8","2.4","39.14","31.2","29.0","59.3","98.6","35.7","17.3","286.9","3.97","7.61","0.33","11.9","23.5","90.1","NA","NA","NA"
"Luxilon 4G 16 (1.30)","62","Slow","Polyester","1.3","NA","1.2","1.8","2.4","52.15","34.3","16.0","22.3","74.5","14.9","8.5","354.3","3.09","6.50","-0.11","9.5","15.4","95.6","NA","NA","NA"
"Luxilon 4G 16 (1.30)","62","Medium","Polyester","1.3","NA","1.2","1.8","2.4","52.28","31.1","22.9","41.9","94.2","27.0","14.1","324.6","3.09","6.37","0.07","9.5","15.4","95.6","NA","NA","NA"
"Luxilon 4G 16 (1.30)","62","Fast","Polyester","1.3","NA","1.2","1.8","2.4","52.21","29.6","27.1","55.3","107.6","36.5","18.9","305.8","3.09","6.44","0.35","9.9","16","92.4","NA","NA","NA"
"Luxilon 4G 16L (1.25)","40","Slow","Polyester","1.25","NA","1.5","2.4","3.0","24.37","41.7","20.0","29.3","53.8","13.4","7.0","298.3","5.07","10.25","0.05","15.4","38.7","96.2","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","40","Medium","Polyester","1.25","NA","1.5","2.4","3.0","24.50","37.0","27.0","45.9","70.3","23.8","11.6","254.9","5.07","10.12","0.24","15.4","38.9","91.8","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","40","Fast","Polyester","1.25","NA","1.5","2.4","3.0","24.45","33.7","32.0","59.1","83.6","33.4","13.7","234.9","5.07","10.17","0.37","15.7","39.3","93.9","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","51","Slow","Polyester","1.25","NA","1.5","2.4","3.0","39.91","37.2","17.9","23.8","63.7","14.3","8.0","299.5","3.55","7.26","-0.15","10.6","21","96.0","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","51","Medium","Polyester","1.25","NA","1.5","2.4","3.0","40.22","33.6","24.0","41.5","81.8","24.5","12.9","292.0","3.55","6.95","0.11","10.6","20.9","94.1","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","51","Fast","Polyester","1.25","NA","1.5","2.4","3.0","40.20","31.8","29.0","53.6","93.7","34.0","17.1","258.9","3.55","6.97","0.29","10.8","21.3","90.8","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","62","Slow","Polyester","1.25","NA","1.5","2.4","3.0","51.31","34.5","16.0","21.2","72.5","14.5","8.5","335.5","2.62","7.81","-0.20","10.1","16.6","99.8","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","62","Medium","Polyester","1.25","NA","1.5","2.4","3.0","51.44","31.7","22.9","38.4","89.7","25.6","13.8","298.3","2.62","7.68","0.04","10.4","16.8","96.2","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","62","Fast","Polyester","1.25","NA","1.5","2.4","3.0","51.38","30.2","27.3","50.1","101.4","34.5","18.1","273.2","2.62","7.74","0.36","10.8","17.4","92.4","0.095","0.366","3.9"
"Luxilon 4G Rough 16L","40","Slow","Polyester","1.25","NA","1.8","3.3","3.9","15.02","48.8","24.0","30.0","45.0","13.5","6.0","210.3","7.39","17.28","0.49","25.1","63.4","90.6","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","40","Medium","Polyester","1.25","NA","1.8","3.3","3.9","15.55","41.7","31.1","47.0","62.6","24.3","10.5","197.7","7.39","16.75","1.83","26.0","65.4","85.6","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","40","Fast","Polyester","1.25","NA","1.8","3.3","3.9","15.59","38.5","36.0","59.1","74.7","33.6","14.3","185.2","7.39","16.71","2.82","26.9","67.8","81.4","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","51","Slow","Polyester","1.25","NA","1.8","3.3","3.9","35.06","41.2","20.0","24.0","59.1","14.8","7.2","242.9","5.34","10.32","0.11","15.7","31.1","98.0","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","51","Medium","Polyester","1.25","NA","1.8","3.3","3.9","35.13","36.2","27.0","42.3","77.4","26.1","12.5","235.5","5.34","10.25","0.36","15.9","31.4","93.3","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","51","Fast","Polyester","1.25","NA","1.8","3.3","3.9","35.06","33.9","32.0","54.5","89.5","35.8","17.9","216.0","5.34","10.32","0.99","16.8","32.8","89.7","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","62","Slow","Polyester","1.25","NA","1.8","3.3","3.9","47.89","37.8","18.0","21.2","69.0","15.6","7.8","263.5","4.04","9.81","-0.09","13.7","22.3","97.0","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","62","Medium","Polyester","1.25","NA","1.8","3.3","3.9","48.22","33.8","25.0","38.8","87.1","27.2","13.6","252.0","4.04","9.48","0.59","14.1","22.9","95.6","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","62","Fast","Polyester","1.25","NA","1.8","3.3","3.9","48.09","31.8","29.8","51.2","99.2","36.9","18.6","234.9","4.04","9.61","1.26","15.0","24.1","92.4","0.094","0.399","4.2"
"Luxilon 4G S 15","40","Slow","Polyester","1.41","NA","0.9","1.8","2.4","21.65","41.6","20.0","32.4","54.0","13.5","6.9","328.6","5.12","12.92","0.06","18.1","45.6","95.6","NA","NA","NA"
"Luxilon 4G S 15","40","Medium","Polyester","1.41","NA","0.9","1.8","2.4","21.98","36.2","27.0","52.3","74.3","25.1","11.6","292.0","5.12","12.59","0.22","17.9","45.2","89.7","NA","NA","NA"
"Luxilon 4G S 15","40","Fast","Polyester","1.41","NA","0.9","1.8","2.4","21.96","33.7","31.6","66.2","88.0","34.8","15.8","269.7","5.12","12.61","0.37","18.1","45.6","85.9","NA","NA","NA"
"Luxilon 4G S 15","51","Slow","Polyester","1.41","NA","0.9","1.8","2.4","39.03","36.7","17.4","26.9","65.9","14.3","7.8","361.8","3.33","8.36","-0.04","11.7","23","97.8","NA","NA","NA"
"Luxilon 4G S 15","51","Medium","Polyester","1.41","NA","0.9","1.8","2.4","39.18","32.9","24.0","47.0","86.2","25.9","13.7","332.0","3.33","8.21","0.11","11.7","23","93.5","NA","NA","NA"
"Luxilon 4G S 15","51","Fast","Polyester","1.41","NA","0.9","1.8","2.4","39.14","30.8","28.1","61.3","100.3","35.3","17.9","314.3","3.33","8.25","0.35","11.9","23.5","91.8","NA","NA","NA"
"Luxilon 4G S 15","62","Slow","Polyester","1.41","NA","0.9","1.8","2.4","51.49","33.9","16.0","23.4","74.7","14.9","8.6","370.9","3.24","7.01","-0.11","10.1","16.4","95.6","NA","NA","NA"
"Luxilon 4G S 15","62","Medium","Polyester","1.41","NA","0.9","1.8","2.4","51.60","30.9","22.1","43.9","95.3","26.3","14.4","365.8","3.24","6.90","0.11","10.1","16.6","95.5","NA","NA","NA"
"Luxilon 4G S 15","62","Fast","Polyester","1.41","NA","0.9","1.8","2.4","51.44","29.2","27.0","57.6","108.9","36.8","18.8","320.6","3.24","7.06","0.37","10.6","17.3","92.9","NA","NA","NA"
"Luxilon 4G Soft 1.25","40","Slow","Polyester","1.25","NA","1.5","2.4","3.0","24.92","44.1","21.8","26.5","51.4","14.0","6.5","227.5","3.92","10.85","-0.02","14.8","37.2","95.3","0.078","0.522","6.7"
"Luxilon 4G Soft 1.25","40","Medium","Polyester","1.25","NA","1.5","2.4","3.0","25.16","38.6","28.5","43.4","68.6","24.5","11.2","216.6","3.92","10.61","0.27","14.8","37.3","91.2","0.078","0.522","6.7"
"Luxilon 4G Soft 1.25","40","Fast","Polyester","1.25","NA","1.5","2.4","3.0","25.18","36.1","33.9","54.7","79.8","33.8","15.5","193.2","3.92","10.59","0.29","14.8","37.3","86.3","0.078","0.522","6.7"
"Luxilon 4G Soft 1.25","51","Slow","Polyester","1.25","NA","1.5","2.4","3.0","37.93","40.0","19.4","22.9","60.9","14.7","7.2","249.7","3.62","9.17","-0.11","12.8","25","97.4","0.078","0.522","6.7"
"Luxilon 4G Soft 1.25","51","Medium","Polyester","1.25","NA","1.5","2.4","3.0","38.15","35.6","26.1","39.9","78.1","25.4","12.4","238.9","3.62","8.95","0.05","12.6","24.9","93.7","0.078","0.522","6.7"
"Luxilon 4G Soft 1.25","51","Fast","Polyester","1.25","NA","1.5","2.4","3.0","38.17","33.5","31.0","51.4","89.5","34.7","16.4","217.2","3.62","8.93","0.35","13.0","25.4","90.1","0.078","0.522","6.7"
"Luxilon 4G Soft 1.25","62","Slow","Polyester","1.25","NA","1.5","2.4","3.0","47.52","37.5","18.0","20.7","68.1","15.3","7.7","258.3","3.64","10.58","-0.13","14.1","22.8","96.4","0.078","0.522","6.7"
"Luxilon 4G Soft 1.25","62","Medium","Polyester","1.25","NA","1.5","2.4","3.0","47.74","33.8","24.8","38.1","86.0","26.7","13.2","251.5","3.64","10.36","0.05","14.1","22.8","95.5","0.078","0.522","6.7"
"Luxilon 4G Soft 1.25","62","Fast","Polyester","1.25","NA","1.5","2.4","3.0","47.72","31.9","29.8","49.4","97.0","36.2","17.1","225.7","3.64","10.38","0.40","14.3","23.4","90.8","0.078","0.522","6.7"
"Weiss Cannon 6 Star 16 (1.30)","51","Fast","Nylon","1.3","NA","1.8","5.2","3.0","42.62","34.7","32.0","38.1","80.9","32.3","16.2","151.4","4.52","3.58","0.17","8.4","16.3","91.0","0.107","0.505","4.7"
"Double AR 666 (1.30)","40","Slow","Nylon","1.3","NA","5.2","6.4","7.9","27.83","45.9","22.0","17.4","45.2","12.5","6.5","146.9","6.81","5.05","0.00","11.9","29.9","98.6","0.085","0.491","5.8"
"Double AR 666 (1.30)","40","Medium","Nylon","1.3","NA","5.2","6.4","7.9","27.67","40.6","30.0","32.4","60.0","22.5","11.1","145.7","6.81","5.21","0.13","12.1","30.6","95.6","0.085","0.491","5.8"
"Double AR 666 (1.30)","40","Fast","Nylon","1.3","NA","5.2","6.4","7.9","27.52","37.9","35.7","42.1","69.7","31.0","14.4","134.9","6.81","5.36","0.18","12.3","31.1","89.7","0.085","0.491","5.8"
"Double AR 666 (1.30)","51","Slow","Nylon","1.3","NA","5.2","6.4","7.9","39.20","41.4","19.9","15.4","54.7","13.6","7.1","158.9","5.58","5.94","0.06","11.5","22.8","98.2","0.085","0.491","5.8"
"Double AR 666 (1.30)","51","Medium","Nylon","1.3","NA","5.2","6.4","7.9","38.83","37.2","27.7","30.9","69.7","24.1","11.7","162.9","5.58","6.31","0.09","11.9","23.6","95.8","0.085","0.491","5.8"
"Double AR 666 (1.30)","51","Fast","Nylon","1.3","NA","5.2","6.4","7.9","38.59","34.9","32.2","41.2","79.8","32.1","16.0","161.7","5.58","6.55","0.22","12.3","24.3","92.5","0.085","0.491","5.8"
"Double AR 666 (1.30)","62","Slow","Nylon","1.3","NA","5.2","6.4","7.9","48.49","38.3","18.0","14.8","63.3","14.2","7.6","185.7","5.87","7.38","0.02","13.2","21.5","99.0","0.085","0.491","5.8"
"Double AR 666 (1.30)","62","Medium","Nylon","1.3","NA","5.2","6.4","7.9","48.11","34.7","25.9","29.8","77.8","25.2","12.3","180.0","5.87","7.76","0.04","13.7","22.1","95.3","0.085","0.491","5.8"
"Double AR 666 (1.30)","62","Fast","Nylon","1.3","NA","5.2","6.4","7.9","47.85","33.0","30.3","40.6","88.4","33.4","17.2","180.0","5.87","8.02","0.22","14.1","22.9","93.7","0.085","0.491","5.8"
"Gosen A.K. Control 16","62","Slow","Nylon","1.3","1.31","7.9","9.4","10.3","49.68","37.4","17.7","13.9","63.7","14.1","","181.2","6.15","5.91","0.00","12.1","19.5","96.4","0.093","0.499","5.4"
"Gosen A.K. Control 16","62","Medium","Nylon","1.3","1.31","7.9","9.4","10.3","49.46","34.8","24.7","27.6","77.2","23.8","","184.6","6.15","6.13","0.05","12.3","20","96.4","0.093","0.499","5.4"
"Gosen A.K. Control 16","62","Fast","Nylon","1.3","1.31","7.9","9.4","10.3","49.26","33.1","30.0","39.7","89.1","33.4","","179.5","6.15","6.33","0.22","12.8","20.6","92.9","0.093","0.499","5.4"
"Gosen A.K. Control 16","51","Slow","Nylon","1.3","1.31","7.9","9.4","10.3","39.80","40.8","19.0","14.6","54.2","12.9","","164.0","5.51","5.41","0.00","11.0","21.5","95.8","0.093","0.499","5.4"
"Gosen A.K. Control 16","51","Medium","Nylon","1.3","1.31","7.9","9.4","10.3","39.67","37.3","26.3","29.3","69.0","22.7","","172.6","5.51","5.54","0.07","11.0","21.9","95.6","0.093","0.499","5.4"
"Gosen A.K. Control 16","51","Fast","Nylon","1.3","1.31","7.9","9.4","10.3","39.54","35.2","32.0","39.5","78.9","31.6","","156.6","5.51","5.67","0.20","11.5","22.4","94.3","0.093","0.499","5.4"
"Gosen A.K. Control 16","40","Slow","Nylon","1.3","1.31","7.9","9.4","10.3","29.11","45.3","21.7","15.7","44.8","12.2","","134.3","5.23","5.35","0.03","10.6","26.7","94.9","0.093","0.499","5.4"
"Gosen A.K. Control 16","40","Medium","Nylon","1.3","1.31","7.9","9.4","10.3","28.95","40.8","29.7","29.3","58.2","21.6","","134.9","5.23","5.51","0.04","10.8","27.2","92.7","0.093","0.499","5.4"
"Gosen A.K. Control 16","40","Fast","Nylon","1.3","1.31","7.9","9.4","10.3","28.91","38.4","35.0","39.2","68.1","29.8","","130.3","5.23","5.55","0.16","11.0","27.6","90.1","0.093","0.499","5.4"
"Toroline A5 16L (1.25)","40","Fast","Polyester","1.25","1.0 x","7.9","9.1","12.1","36.49","34.0","31.4","49.6","86.2","33.9","16.0","204.6","5.23","-2.03","0.28","3.5","8.8","86.7","0.071","0.521","7.3"
"Toroline Absolute 17 (1.20)","51","Fast","Polyester","0","1.0 x","7.9","9.1","12.1","27.03","36.5","33.7","50.5","77.4","32.6","14.6","180.6","6.24","17.45","0.20","23.8","47.1","81.9","0.063","0.589","9.3"
"Babolat Addiction 16","62","Slow","Nylon","1.3","1.33","6.7","7.6","8.5","51.77","36.5","17.2","14.6","66.4","14.3","","202.3","5.91","4.06","-0.03","9.9","16.1","97.8","0.127","0.391","3.1"
"Babolat Addiction 16","62","Medium","Nylon","1.3","1.33","6.7","7.6","8.5","51.46","33.9","24.0","29.3","80.9","24.3","","207.5","5.91","4.37","-0.05","10.1","16.6","97.0","0.127","0.391","3.1"
"Babolat Addiction 16","62","Fast","Nylon","1.3","1.33","6.7","7.6","8.5","51.29","32.1","29.1","41.0","92.4","33.6","","197.7","5.91","4.54","0.27","10.8","17.4","94.7","0.127","0.391","3.1"
"Babolat Addiction 16","51","Slow","Nylon","1.3","1.33","6.7","7.6","8.5","40.95","39.7","18.3","15.2","56.0","12.8","","182.9","5.51","4.26","-0.06","9.7","19.1","99.0","0.127","0.391","3.1"
"Babolat Addiction 16","51","Medium","Nylon","1.3","1.33","6.7","7.6","8.5","40.79","36.5","26.0","30.0","70.8","23.0","","180.0","5.51","4.42","-0.02","9.9","19.5","97.8","0.127","0.391","3.1"
"Babolat Addiction 16","51","Fast","Nylon","1.3","1.33","6.7","7.6","8.5","40.70","34.4","31.7","41.2","82.0","32.4","","167.4","5.51","4.51","0.17","10.1","20.1","92.4","0.127","0.391","3.1"
"Babolat Addiction 16","40","Slow","Nylon","1.3","1.33","6.7","7.6","8.5","30.47","43.7","20.4","16.3","46.7","11.9","","160.0","4.94","4.28","-0.05","9.3","23.1","96.4","0.127","0.391","3.1"
"Babolat Addiction 16","40","Medium","Nylon","1.3","1.33","6.7","7.6","8.5","30.41","39.8","28.3","30.9","61.3","21.6","","156.6","4.94","4.34","0.05","9.3","23.5","94.7","0.127","0.391","3.1"
"Babolat Addiction 16","40","Fast","Nylon","1.3","1.33","6.7","7.6","8.5","30.30","37.4","34.0","40.6","70.8","30.1","","142.3","4.94","4.45","0.14","9.5","24","90.1","0.127","0.391","3.1"
"Babolat Addiction 17","62","Slow","Nylon","1.25","1.30","7.3","8.8","9.4","51.33","37.2","17.6","13.7","65.0","14.3","","180.0","6.39","4.02","-0.11","10.4","16.7","97.0","0.141","0.363","2.6"
"Babolat Addiction 17","62","Medium","Nylon","1.25","1.30","7.3","8.8","9.4","51.11","34.6","24.3","26.9","78.1","23.7","","184.6","6.39","4.24","-0.07","10.6","17.1","96.0","0.141","0.363","2.6"
"Babolat Addiction 17","62","Fast","Nylon","1.25","1.30","7.3","8.8","9.4","50.98","32.8","29.9","38.1","89.3","33.3","","173.7","6.39","4.37","0.18","11.0","17.7","94.9","0.141","0.363","2.6"
"Babolat Addiction 17","51","Slow","Nylon","1.25","1.30","7.3","8.8","9.4","40.88","40.4","19.0","14.3","55.1","13.1","","161.2","5.89","3.95","-0.04","9.7","19.3","98.2","0.141","0.363","2.6"
"Babolat Addiction 17","51","Medium","Nylon","1.25","1.30","7.3","8.8","9.4","40.77","37.2","26.3","27.8","68.4","22.5","","162.3","5.89","4.06","0.00","9.9","19.6","95.8","0.141","0.363","2.6"
"Babolat Addiction 17","51","Fast","Nylon","1.25","1.30","7.3","8.8","9.4","40.66","35.0","32.0","38.8","79.4","31.8","","153.7","5.89","4.17","0.13","10.1","20.1","92.9","0.141","0.363","2.6"
"Babolat Addiction 17","40","Slow","Nylon","1.25","1.30","7.3","8.8","9.4","30.08","44.8","21.0","15.0","45.2","11.9","","138.3","5.40","4.21","-0.06","9.5","24.1","97.4","0.141","0.363","2.6"
"Babolat Addiction 17","40","Medium","Nylon","1.25","1.30","7.3","8.8","9.4","30.01","40.5","29.0","28.0","58.0","21.1","","135.4","5.40","4.28","0.02","9.7","24.4","94.3","0.141","0.363","2.6"
"Babolat Addiction 17","40","Fast","Nylon","1.25","1.30","7.3","8.8","9.4","29.94","38.0","34.3","38.8","68.8","29.5","","134.3","5.40","4.35","0.11","9.9","24.8","92.0","0.141","0.363","2.6"
"Luxilon Adrenaline 16","62","Slow","Polyester","1.3","1.27","1.8","2.7","4.2","39.54","38.2","18.0","23.4","63.1","14.2","","293.8","9.57","12.63","-0.33","21.8","35.4","92.9","0.103","0.372","3.6"
"Luxilon Adrenaline 16","62","Medium","Polyester","1.3","1.27","1.8","2.7","4.2","40.02","34.6","25.0","41.9","82.0","25.6","","273.7","9.57","12.15","0.11","21.8","35.4","93.9","0.103","0.372","3.6"
"Luxilon Adrenaline 16","62","Fast","Polyester","1.3","1.27","1.8","2.7","4.2","39.98","32.7","29.8","53.8","93.7","35.0","","245.7","9.57","12.19","0.53","22.3","36.1","89.9","0.103","0.372","3.6"
"Luxilon Adrenaline 16","51","Slow","Polyester","1.3","1.27","1.8","2.7","4.2","27.43","42.0","20.0","26.2","53.8","13.4","","267.5","8.45","14.84","-0.40","22.9","45.1","98.2","0.103","0.372","3.6"
"Luxilon Adrenaline 16","51","Medium","Polyester","1.3","1.27","1.8","2.7","4.2","28.11","37.6","27.0","42.3","70.6","23.8","","236.0","8.45","14.16","0.19","22.7","45","92.0","0.103","0.372","3.6"
"Luxilon Adrenaline 16","51","Fast","Polyester","1.3","1.27","1.8","2.7","4.2","28.09","35.4","32.0","53.6","81.8","32.7","","212.6","8.45","14.18","0.37","22.9","45.3","86.1","0.103","0.372","3.6"
"Luxilon Adrenaline 16","40","Slow","Polyester","1.3","1.27","1.8","2.7","4.2","16.52","46.7","22.7","28.0","44.5","12.6","","221.2","6.26","16.91","-0.17","22.9","57.9","93.7","0.103","0.372","3.6"
"Luxilon Adrenaline 16","40","Medium","Polyester","1.3","1.27","1.8","2.7","4.2","17.00","41.3","30.0","43.7","60.6","22.7","","197.7","6.26","16.43","0.26","22.9","57.8","85.9","0.103","0.372","3.6"
"Luxilon Adrenaline 16","40","Fast","Polyester","1.3","1.27","1.8","2.7","4.2","17.00","38.7","34.9","53.8","70.8","30.9","","179.5","6.26","16.43","0.44","23.2","58.3","80.5","0.103","0.372","3.6"
"Luxilon Adrenaline 16L/1.25","62","Slow","Polyester","1.25","1.24","2.4","3.3","4.5","38.43","38.4","18.0","22.3","60.9","13.7","","279.5","9.99","13.32","-0.36","22.9","37.2","96.2","0.103","0.356","3.5"
"Luxilon Adrenaline 16L/1.25","62","Medium","Polyester","1.25","1.24","2.4","3.3","4.5","38.98","34.8","25.0","39.2","78.3","24.5","","255.5","9.99","12.77","0.08","22.9","37","95.1","0.103","0.356","3.5"
"Luxilon Adrenaline 16L/1.25","62","Fast","Polyester","1.25","1.24","2.4","3.3","4.5","38.98","32.9","30.0","50.5","89.5","33.5","","228.0","9.99","12.77","0.41","23.2","37.5","89.5","0.103","0.356","3.5"
"Luxilon Adrenaline 16L/1.25","51","Slow","Polyester","1.25","1.24","2.4","3.3","4.5","28.14","41.6","22.0","24.7","52.9","14.6","","208.0","8.51","14.07","-0.28","22.3","44","94.1","0.103","0.356","3.5"
"Luxilon Adrenaline 16L/1.25","51","Medium","Polyester","1.25","1.24","2.4","3.3","4.5","28.69","37.3","27.0","40.6","69.2","23.3","","226.9","8.51","13.52","0.27","22.3","44","91.8","0.103","0.356","3.5"
"Luxilon Adrenaline 16L/1.25","51","Fast","Polyester","1.25","1.24","2.4","3.3","4.5","28.66","35.1","32.0","51.2","79.8","31.9","","202.9","8.51","13.55","0.44","22.5","44.3","86.1","0.103","0.356","3.5"
"Luxilon Adrenaline 16L/1.25","40","Slow","Polyester","1.25","1.24","2.4","3.3","4.5","17.40","46.4","22.1","26.5","43.9","12.1","","220.0","6.22","16.07","-0.22","22.1","55.6","92.0","0.103","0.356","3.5"
"Luxilon Adrenaline 16L/1.25","40","Medium","Polyester","1.25","1.24","2.4","3.3","4.5","17.93","41.1","29.9","40.8","58.7","22.0","","184.6","6.22","15.54","0.31","22.1","55.6","86.5","0.103","0.356","3.5"
"Luxilon Adrenaline 16L/1.25","40","Fast","Polyester","1.25","1.24","2.4","3.3","4.5","18.01","38.6","34.3","51.6","69.5","29.8","","178.3","6.22","15.46","0.48","22.3","55.8","81.4","0.103","0.356","3.5"
"Luxilon Adrenaline 17/1.20","62","Slow","Polyester","1.2","1.19","2.1","3.0","4.2","41.04","37.6","18.0","22.7","63.7","14.3","","284.0","8.62","12.08","-0.28","20.5","33.1","96.0","0.131","0.384","2.9"
"Luxilon Adrenaline 17/1.20","62","Medium","Polyester","1.2","1.19","2.1","3.0","4.2","41.45","34.2","24.2","39.7","81.1","24.5","","276.0","8.62","11.67","0.19","20.5","33.2","93.9","0.131","0.384","2.9"
"Luxilon Adrenaline 17/1.20","62","Fast","Polyester","1.2","1.19","2.1","3.0","4.2","41.41","32.3","29.2","51.6","93.1","34.0","","245.7","8.62","11.71","0.49","20.7","33.7","89.3","0.131","0.384","2.9"
"Luxilon Adrenaline 17/1.20","51","Slow","Polyester","1.2","1.19","2.1","3.0","4.2","29.52","41.1","19.9","24.9","54.5","13.5","","253.7","7.36","13.84","-0.25","20.9","41.3","94.7","0.131","0.384","2.9"
"Luxilon Adrenaline 17/1.20","51","Medium","Polyester","1.2","1.19","2.1","3.0","4.2","29.99","37.0","26.4","41.0","71.0","23.4","","237.7","7.36","13.37","0.31","20.9","41.5","91.2","0.131","0.384","2.9"
"Luxilon Adrenaline 17/1.20","51","Fast","Polyester","1.2","1.19","2.1","3.0","4.2","29.99","34.8","31.9","52.0","82.0","32.6","","208.0","7.36","13.37","0.47","21.2","41.8","86.3","0.131","0.384","2.9"
"Luxilon Adrenaline 17/1.20","40","Slow","Polyester","1.2","1.19","2.1","3.0","4.2","19.76","45.2","22.0","26.2","45.9","12.6","","220.0","5.42","14.51","-0.11","19.8","49.9","92.0","0.131","0.384","2.9"
"Luxilon Adrenaline 17/1.20","40","Medium","Polyester","1.2","1.19","2.1","3.0","4.2","20.13","40.2","29.0","41.5","61.5","22.3","","200.0","5.42","14.14","0.31","19.8","50.1","86.7","0.131","0.384","2.9"
"Luxilon Adrenaline 17/1.20","40","Fast","Polyester","1.2","1.19","2.1","3.0","4.2","20.15","37.7","34.0","52.5","72.8","30.9","","185.2","5.42","14.12","0.48","20.1","50.4","82.6","0.131","0.384","2.9"
"Luxilon Adrenaline Rough 16L/1.25","62","Slow","Polyester","1.25","1.25","2.7","4.2","5.2","38.46","38.1","18.0","23.2","61.5","13.9","","290.3","9.94","13.34","-0.33","22.9","37.2","96.8","0.13","0.432","3.3"
"Luxilon Adrenaline Rough 16L/1.25","62","Medium","Polyester","1.25","1.25","2.7","4.2","5.2","38.98","34.4","25.0","40.1","78.9","24.7","","260.6","9.94","12.82","0.17","22.9","37.1","95.3","0.13","0.432","3.3"
"Luxilon Adrenaline Rough 16L/1.25","62","Fast","Polyester","1.25","1.25","2.7","4.2","5.2","39.03","32.6","29.1","51.4","90.4","32.9","","247.5","9.94","12.77","0.71","23.4","37.9","89.1","0.13","0.432","3.3"
"Luxilon Adrenaline Rough 16L/1.25","51","Slow","Polyester","1.25","1.25","2.7","4.2","5.2","27.83","41.5","20.0","25.1","52.9","13.2","","254.3","8.75","14.14","-0.50","22.3","44.1","95.5","0.13","0.432","3.3"
"Luxilon Adrenaline Rough 16L/1.25","51","Medium","Polyester","1.25","1.25","2.7","4.2","5.2","28.51","37.2","27.0","40.1","68.6","23.2","","223.5","8.75","13.46","0.22","22.5","44.2","89.7","0.13","0.432","3.3"
"Luxilon Adrenaline Rough 16L/1.25","51","Fast","Polyester","1.25","1.25","2.7","4.2","5.2","28.51","35.1","31.8","50.5","78.9","31.4","","202.9","8.75","13.46","0.53","22.7","44.8","85.9","0.13","0.432","3.3"
"Luxilon Adrenaline Rough 16L/1.25","40","Slow","Polyester","1.25","1.25","2.7","4.2","5.2","15.94","47.0","22.9","26.9","43.0","12.3","","208.6","7.23","16.52","-0.31","23.4","59.1","91.4","0.13","0.432","3.3"
"Luxilon Adrenaline Rough 16L/1.25","40","Medium","Polyester","1.25","1.25","2.7","4.2","5.2","16.58","41.6","30.0","41.7","58.2","21.8","","188.0","7.23","15.88","0.37","23.6","59.2","86.5","0.13","0.432","3.3"
